project_name,language,age,stars,contributors_count,submitter_login,merger_login,pull_request_id,files_changed_count,changed_counts,is_merged,pr_comments_count,has_test,is_following,followers_count,is_collaborator,prior_iterations_count
normalizr,JavaScript,83,20320,63,wattlebird,,340,1,16,0,1,0,0,92,0,0
normalizr,JavaScript,83,20320,63,ptshih,paularmstrong,335,9,74,1,7,1,1,156,0,0
normalizr,JavaScript,83,20320,63,Todmy,,334,2,14,0,3,0,0,15,0,0
normalizr,JavaScript,83,20320,63,ansgarm,,333,1,7,0,1,0,0,31,0,0
normalizr,JavaScript,83,20320,63,jeffreyyoung,,330,8,83,0,6,1,0,3,0,0
normalizr,JavaScript,83,20320,63,kud,paularmstrong,329,1,6,1,2,0,1,142,0,0
normalizr,JavaScript,83,20320,63,unindented,paularmstrong,324,1,2,1,2,0,0,139,1,60
normalizr,JavaScript,83,20320,63,Andarist,paularmstrong,323,5,213,1,2,0,1,1003,0,1
normalizr,JavaScript,83,20320,63,Andarist,paularmstrong,318,5,2558,1,2,1,1,1003,0,0
normalizr,JavaScript,83,20320,63,wuweiweiwu,,317,17,8497,0,3,0,0,138,0,2
normalizr,JavaScript,83,20320,63,hughsw,,316,1,83,0,2,0,0,4,0,0
normalizr,JavaScript,83,20320,63,PhilippSpo,,297,7,151,0,6,1,0,40,0,5
normalizr,JavaScript,83,20320,63,deftomat,,295,1,4,0,4,0,0,18,0,0
normalizr,JavaScript,83,20320,63,nikita-ushakov,paularmstrong,294,3,46,1,10,1,1,8,0,0
normalizr,JavaScript,83,20320,63,praxxis,,283,6,138,0,8,1,0,23,0,0
normalizr,JavaScript,83,20320,63,iamandrewluca,,328,1,8,0,4,0,0,78,0,0
normalizr,JavaScript,83,20320,63,dwncy,,282,1,2,0,3,0,0,4,0,0
normalizr,JavaScript,83,20320,63,dkrieger,paularmstrong,279,2,10,1,2,1,1,2,0,4
normalizr,JavaScript,83,20320,63,acontreras89,paularmstrong,276,1,2,1,2,0,1,12,0,0
normalizr,JavaScript,83,20320,63,shqld,,274,19,3538,0,3,0,0,41,0,0
normalizr,JavaScript,83,20320,63,wrumsby,,269,1,2,0,3,0,0,47,0,0
normalizr,JavaScript,83,20320,63,paulsonnentag,paularmstrong,268,1,3,1,2,0,1,154,0,1
normalizr,JavaScript,83,20320,63,Webini,paularmstrong,266,2,22,1,3,1,1,11,0,0
normalizr,JavaScript,83,20320,63,tugorez,,265,4,70,0,3,1,0,33,0,2
normalizr,JavaScript,83,20320,63,Stenerson,paularmstrong,262,1,37,1,3,0,1,7,0,11
normalizr,JavaScript,83,20320,63,Stenerson,,261,4,41,0,9,1,0,7,0,8
normalizr,JavaScript,83,20320,63,n-sviridenko,paularmstrong,257,2,20,1,5,1,1,17,0,2
